1,2,3,4,5,6,7,8,class
0.029693,0.94062,0.47119,0.98515,0.042138,0.91578,0.45965,0.97893,F11
0.030028,0.93995,0.47088,0.98499,0.042952,0.9141,0.4589,0.97852,F11
0.029777,0.94045,0.47112,0.98511,0.043177,0.91366,0.4587,0.97841,F11
0.030056,0.93989,0.47086,0.98497,0.043458,0.91314,0.45845,0.97827,F11
0.030503,0.939,0.47043,0.98475,0.04225,0.91551,0.45954,0.97887,F11
0.030894,0.93822,0.47006,0.98455,0.044805,0.91045,0.45722,0.9776,F11
0.031061,0.93788,0.46992,0.98447,0.045395,0.90928,0.45669,0.9773,F11
0.030587,0.93883,0.47035,0.98471,0.044721,0.91063,0.4573,0.97764,F11
0.031648,0.93671,0.46936,0.98418,0.044328,0.91141,0.45766,0.97784,F11
0.030698,0.9386,0.47026,0.98465,0.047219,0.9056,0.45503,0.97639,F11
0.031285,0.93743,0.4697,0.98436,0.044468,0.91109,0.45752,0.97777,F11
0.029693,0.94062,0.4712,0.98515,0.043598,0.91281,0.45831,0.9782,F11
0.029385,0.94124,0.47148,0.98531,0.041408,0.91719,0.46031,0.9793,F11
0.029385,0.94124,0.47148,0.98531,0.04225,0.91551,0.45954,0.97887,F11
0.030307,0.93939,0.47062,0.98485,0.043289,0.91343,0.4586,0.97836,F11
0.028575,0.94285,0.47224,0.98571,0.040566,0.91888,0.46108,0.97972,F11
0.029441,0.94112,0.47143,0.98528,0.042194,0.91562,0.45959,0.9789,F11
0.030056,0.93989,0.47085,0.98497,0.043093,0.91383,0.45877,0.97845,F11
0.030363,0.93928,0.47057,0.98482,0.043289,0.91343,0.45859,0.97836,F11
0.030028,0.93995,0.47088,0.98499,0.042531,0.91495,0.45928,0.97873,F11
0.025531,0.94895,0.47513,0.98723,0.035878,0.92826,0.46542,0.98206,F13
0.023883,0.95225,0.4767,0.98806,0.035204,0.9296,0.46604,0.9824,F13
0.02338,0.95325,0.47717,0.98831,0.035007,0.92999,0.46622,0.9825,F13
0.025642,0.94872,0.47503,0.98718,0.036439,0.92714,0.4649,0.98178,F13
0.023631,0.95275,0.47695,0.98818,0.0354,0.92921,0.46588,0.9823,F13
0.026313,0.94738,0.47439,0.98684,0.036664,0.92669,0.46469,0.98167,F13
0.026313,0.94738,0.47438,0.98684,0.037001,0.92601,0.46438,0.9815,F13
0.026257,0.94749,0.47444,0.98687,0.036355,0.92731,0.46498,0.98182,F13
0.025279,0.94945,0.47536,0.98736,0.036383,0.92725,0.46495,0.98181,F13
0.026676,0.94666,0.47404,0.98666,0.036748,0.92652,0.46461,0.98163,F13
0.02595,0.94811,0.47473,0.98703,0.036608,0.9268,0.46474,0.9817,F13
0.024609,0.95079,0.47601,0.9877,0.035372,0.92927,0.46589,0.98231,F13
0.02486,0.95029,0.47576,0.98757,0.035793,0.92843,0.46549,0.9821,F13
0.023687,0.95264,0.47688,0.98816,0.034671,0.93067,0.46654,0.98266,F13
0.023855,0.9523,0.47672,0.98807,0.034502,0.93101,0.4667,0.98275,F13
0.024944,0.95012,0.47569,0.98753,0.036158,0.92769,0.46516,0.98192,F13
0.024302,0.95141,0.4763,0.98785,0.0354,0.9292,0.46587,0.9823,F13
0.023631,0.95275,0.47693,0.98818,0.034979,0.93005,0.46625,0.98251,F13
0.024469,0.95107,0.47613,0.98777,0.03585,0.92831,0.46544,0.98208,F13
0.025112,0.94979,0.47553,0.98744,0.036327,0.92736,0.465,0.98184,F13
0.036676,0.92665,0.46468,0.98166,0.055473,0.88907,0.44761,0.97226,F14
0.042933,0.91413,0.45897,0.97853,0.061144,0.87771,0.44268,0.96943,F14
0.041983,0.91603,0.45979,0.97901,0.058561,0.88289,0.44489,0.97072,F14
0.037542,0.92492,0.46387,0.98123,0.054771,0.89047,0.44823,0.97261,F14
0.041955,0.91609,0.45983,0.97902,0.058477,0.88306,0.44496,0.97076,F14
0.036369,0.92726,0.46496,0.98182,0.052974,0.89407,0.44984,0.97351,F14
0.037654,0.92469,0.46377,0.98117,0.05581,0.88839,0.44732,0.9721,F14
0.038827,0.92234,0.46271,0.98059,0.055754,0.8885,0.4474,0.97212,F14
0.035866,0.92827,0.46542,0.98207,0.052609,0.89479,0.45016,0.9737,F14
0.037793,0.9244,0.46373,0.9811,0.05348,0.89303,0.4495,0.97326,F14
0.035838,0.92831,0.46556,0.98208,0.055501,0.88898,0.44772,0.97225,F14
0.035698,0.92861,0.46558,0.98215,0.053199,0.89361,0.44963,0.9734,F14
0.038352,0.92329,0.46315,0.98082,0.055557,0.8889,0.44755,0.97222,F14
0.035084,0.92983,0.46617,0.98246,0.052834,0.89434,0.44997,0.97358,F14
0.036899,0.9262,0.46446,0.98155,0.054799,0.89041,0.44821,0.9726,F14
0.035726,0.92855,0.46556,0.98214,0.05362,0.89277,0.44926,0.97319,F14
0.039804,0.92039,0.46178,0.9801,0.05727,0.88547,0.44601,0.97137,F14
0.039916,0.92017,0.46168,0.98004,0.057185,0.88564,0.44609,0.97141,F14
0.038324,0.92335,0.46315,0.98084,0.057494,0.88502,0.44583,0.97125,F14
0.042095,0.91581,0.45971,0.97895,0.058364,0.88327,0.44509,0.97082,F14
0.031285,0.93745,0.4697,0.98436,0.045058,0.90998,0.457,0.97747,F15
0.030251,0.93952,0.47067,0.98487,0.042475,0.91516,0.45936,0.97876,F15
0.030615,0.93879,0.47033,0.98469,0.044187,0.91174,0.4578,0.97791,F15
0.031425,0.93717,0.46957,0.98429,0.0443,0.9115,0.45769,0.97785,F15
0.032011,0.936,0.46902,0.98399,0.047556,0.905,0.45474,0.97622,F15
0.032039,0.93594,0.46901,0.98398,0.044215,0.91166,0.45779,0.97789,F15
0.031732,0.93655,0.46928,0.98413,0.044524,0.91105,0.45748,0.97774,F15
0.030782,0.93845,0.47018,0.98461,0.043261,0.91358,0.45865,0.97837,F15
0.031313,0.93739,0.46968,0.98434,0.043093,0.91391,0.4588,0.97845,F15
0.031034,0.93795,0.46994,0.98448,0.043373,0.91335,0.45853,0.97831,F15
0.030223,0.93957,0.4707,0.98489,0.042643,0.91482,0.45921,0.97868,F15
0.029413,0.94119,0.47146,0.98529,0.041436,0.91724,0.46031,0.97928,F15
0.030642,0.93873,0.47031,0.98468,0.043036,0.91403,0.45886,0.97848,F15
0.030251,0.93952,0.47067,0.98487,0.042363,0.91538,0.45946,0.97882,F15
0.029944,0.94013,0.47096,0.98503,0.041661,0.91679,0.4601,0.97917,F15
0.029777,0.94047,0.47112,0.98511,0.041689,0.91674,0.46008,0.97916,F15
0.030196,0.93963,0.47072,0.9849,0.042587,0.91494,0.45926,0.97871,F15
0.030363,0.93929,0.47056,0.98482,0.04284,0.91443,0.45903,0.97858,F15
0.02986,0.9403,0.47104,0.98507,0.041268,0.91758,0.46047,0.97937,F15
0.030251,0.93952,0.47067,0.98487,0.043261,0.91359,0.45864,0.97837,F15
0.03824,0.92352,0.46322,0.98088,0.05202,0.89596,0.45069,0.97399,F16
0.040782,0.91844,0.46088,0.97961,0.055669,0.88866,0.44744,0.97217,F16
0.039302,0.92138,0.46235,0.98035,0.053957,0.89205,0.44911,0.97302,F16
0.037737,0.92453,0.46369,0.98113,0.051599,0.8968,0.45108,0.9742,F16
0.038296,0.92341,0.46319,0.98085,0.051206,0.89758,0.45147,0.9744,F16
0.037933,0.92414,0.46351,0.98103,0.051093,0.89781,0.45152,0.97445,F16
0.038156,0.92369,0.4633,0.98092,0.052637,0.89472,0.45014,0.97368,F16
0.037626,0.92475,0.46379,0.98119,0.051571,0.89686,0.45109,0.97421,F16
0.037765,0.92447,0.46367,0.98112,0.052722,0.89455,0.45009,0.97364,F16
0.038464,0.92307,0.46305,0.98077,0.053339,0.89331,0.44957,0.97333,F16
0.038939,0.92212,0.4626,0.98053,0.053592,0.89282,0.44929,0.9732,F16
0.037346,0.92531,0.46406,0.98133,0.051458,0.89708,0.45122,0.97427,F16
0.039469,0.92106,0.46209,0.98027,0.052666,0.89466,0.45013,0.97367,F16
0.037961,0.92408,0.46348,0.98102,0.04983,0.90034,0.45265,0.97508,F16
0.037821,0.92434,0.46371,0.98109,0.05216,0.89565,0.45071,0.97392,F16
0.038994,0.92199,0.46271,0.9805,0.052946,0.89405,0.45011,0.97353,F16
0.038212,0.92358,0.46325,0.98089,0.051683,0.89664,0.45099,0.97416,F16
0.03743,0.92514,0.46398,0.98128,0.050139,0.89972,0.4524,0.97493,F16
0.038743,0.9225,0.46288,0.98063,0.050055,0.89985,0.45264,0.97497,F16
0.038939,0.92212,0.46262,0.98053,0.050476,0.89903,0.45215,0.97476,F16
0.038073,0.92388,0.46338,0.98096,0.054603,0.89088,0.4484,0.9727,F17
0.036369,0.92727,0.46497,0.98182,0.048455,0.90309,0.45392,0.97577,F17
0.035978,0.92805,0.46532,0.98201,0.048848,0.90231,0.45354,0.97558,F17
0.038296,0.92343,0.46319,0.98085,0.055529,0.88904,0.44759,0.97224,F17
0.036257,0.92749,0.46506,0.98187,0.051009,0.89799,0.4516,0.9745,F17
0.037542,0.92494,0.46388,0.98123,0.055164,0.88977,0.44791,0.97242,F17
0.037626,0.92477,0.4638,0.98119,0.055838,0.88842,0.44731,0.97208,F17
0.037598,0.92482,0.46385,0.9812,0.055613,0.88885,0.44755,0.97219,F17
0.037318,0.92538,0.46408,0.98134,0.053115,0.89386,0.44973,0.97344,F17
0.035726,0.92856,0.46555,0.98214,0.051543,0.89698,0.45113,0.97423,F17
0.035419,0.92916,0.46584,0.98229,0.051936,0.89618,0.45077,0.97403,F17
0.033156,0.93369,0.46797,0.98342,0.050392,0.89922,0.45218,0.9748,F17
0.034358,0.93129,0.46682,0.98282,0.049606,0.9008,0.45286,0.9752,F17
0.033994,0.93201,0.46718,0.983,0.049746,0.90053,0.45277,0.97513,F17
0.033128,0.93374,0.46797,0.98344,0.047725,0.90458,0.45456,0.97614,F17
0.033883,0.93223,0.46728,0.98306,0.047556,0.9049,0.45473,0.97622,F17
0.03419,0.93162,0.46699,0.98291,0.04896,0.90209,0.45345,0.97552,F17
0.035475,0.92905,0.46579,0.98226,0.047809,0.90439,0.45449,0.9761,F17
0.035587,0.92883,0.4657,0.98221,0.047977,0.90405,0.45434,0.97601,F17
0.036369,0.92727,0.46496,0.98182,0.04837,0.90327,0.45397,0.97581,F17
0.037765,0.92447,0.46367,0.98112,0.059852,0.8803,0.44375,0.97007,F18
0.037877,0.92425,0.46356,0.98106,0.062463,0.87508,0.44145,0.96877,F18
0.03419,0.93163,0.46698,0.98291,0.051964,0.89608,0.45074,0.97402,F18
0.03919,0.92161,0.46245,0.98041,0.065748,0.86849,0.43866,0.96713,F18
0.035168,0.92967,0.46608,0.98242,0.054322,0.89136,0.44865,0.97284,F18
0.034832,0.93033,0.46645,0.98258,0.054041,0.89191,0.44893,0.97298,F18
0.038966,0.92207,0.46258,0.98052,0.061593,0.87681,0.44224,0.9692,F18
0.036816,0.92637,0.46455,0.98159,0.060105,0.8798,0.44351,0.96995,F18
0.039665,0.92067,0.46191,0.98017,0.063305,0.8734,0.44072,0.96835,F18
0.039553,0.92088,0.46213,0.98022,0.065944,0.86808,0.43855,0.96703,F18
0.032626,0.93475,0.46845,0.98369,0.051374,0.89726,0.45127,0.97431,F18
0.03433,0.93133,0.46693,0.98284,0.055192,0.8896,0.44795,0.9724,F18
0.032598,0.9348,0.46849,0.9837,0.049746,0.90051,0.45275,0.97513,F18
0.03352,0.93297,0.46761,0.98324,0.05275,0.8945,0.45004,0.97363,F18
0.034497,0.931,0.46675,0.98275,0.051037,0.89792,0.45161,0.97448,F18
0.036564,0.92688,0.46478,0.98172,0.057971,0.88406,0.4454,0.97101,F18
0.039721,0.92055,0.46192,0.98014,0.062435,0.87512,0.44155,0.96878,F18
0.034665,0.93067,0.46654,0.98267,0.054518,0.89097,0.44846,0.97274,F18
0.033436,0.93313,0.46768,0.98328,0.052469,0.89507,0.45028,0.97377,F18
0.034274,0.93145,0.46693,0.98286,0.053143,0.89372,0.4497,0.97343,F18
0.037849,0.9243,0.46358,0.98108,0.051908,0.8962,0.45079,0.97405,F2
